Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,Automation_Probability,Cluster
3.0,3.0,3.5,2.88,3.62,3.12,2.75,1.5,2.75,3.12,2.5,1.75,1.88,2.75,2.38,3.5,2.38,3.75,1.88,3.88,2.5,1.75,3.12,3.0,3.12,1.75,2.38,2.75,3.12,2.38,2.25,1.62,3.0,3.12,2.88,0.93,1
2.75,3.12,2.75,2.88,2.88,1.0,1.62,1.0,2.38,2.88,2.12,1.12,1.25,2.38,2.12,2.88,2.5,2.38,1.88,2.25,2.38,1.0,2.0,2.38,1.0,1.25,2.38,2.88,3.12,1.75,1.75,1.25,2.88,1.62,2.38,0.79,3
2.88,3.0,3.0,2.88,3.0,3.12,2.38,2.12,2.75,3.12,2.38,2.0,2.0,2.12,2.25,3.12,2.25,3.12,2.0,4.0,2.38,1.88,3.38,3.0,3.0,1.25,2.38,3.0,3.0,2.38,2.25,1.88,2.88,3.0,2.75,0.91,1
3.12,4.0,3.25,3.0,3.88,1.0,1.0,1.0,3.0,3.25,3.0,2.0,2.0,2.62,2.75,3.25,3.12,2.62,2.12,2.88,3.12,1.88,2.88,3.88,1.12,2.75,3.0,3.12,3.88,3.12,3.0,1.88,3.0,2.0,3.75,0.25,0
2.88,3.0,2.88,3.12,3.12,2.0,2.62,1.12,2.25,2.88,2.12,1.88,2.0,2.25,2.88,3.0,2.25,2.62,2.12,3.0,2.5,1.0,3.0,2.75,2.0,1.75,2.25,2.75,3.0,2.12,2.0,1.62,3.0,2.0,2.25,0.82,1
3.75,4.0,3.88,3.0,3.88,2.12,2.75,2.25,3.12,3.88,3.25,2.12,2.25,3.0,3.88,3.75,2.88,2.0,3.75,2.88,2.75,3.12,3.12,4.0,2.5,3.88,2.88,3.0,4.0,3.62,3.5,3.38,3.12,2.88,4.0,0.04,0
3.5,3.75,4.12,3.38,4.12,2.62,2.25,1.62,2.88,3.75,2.88,2.5,2.62,3.0,3.62,3.38,2.62,3.0,3.0,3.5,2.75,2.25,3.38,3.88,2.5,3.5,2.88,3.0,3.75,3.38,3.38,2.5,3.5,2.88,3.75,0.01,0
2.25,4.0,2.62,2.5,3.0,1.0,1.0,1.0,2.0,2.25,2.0,1.38,1.38,2.0,1.88,2.75,1.88,1.25,1.12,1.75,2.0,1.38,1.12,3.0,1.0,1.0,3.5,3.12,4.0,2.0,1.88,1.25,2.5,1.0,2.25,0.97,3
2.88,3.0,2.88,2.88,3.0,2.62,2.75,2.0,2.25,2.88,2.25,1.88,1.88,2.12,2.12,3.0,2.25,2.88,2.0,3.0,2.62,1.75,3.0,2.88,3.25,1.25,2.88,2.88,3.0,2.12,2.12,1.88,3.0,3.12,2.38,0.91,1
2.88,3.5,2.75,3.0,3.0,1.5,1.38,1.0,2.0,3.0,2.5,1.75,2.0,1.88,2.5,2.75,1.88,1.75,1.5,1.88,2.25,1.5,2.0,3.25,1.12,1.5,3.38,3.25,3.38,2.12,1.88,1.62,2.62,1.75,2.75,0.72,3
2.5,3.0,2.75,3.0,2.88,3.0,2.5,1.75,2.25,2.88,2.0,1.75,1.88,2.38,2.12,3.12,1.88,3.38,1.75,3.75,1.88,1.75,3.12,2.75,3.0,1.0,1.88,2.5,3.0,2.38,2.12,1.75,2.88,3.0,2.62,0.95,1
3.75,4.0,4.0,3.62,4.0,1.0,1.12,1.0,2.88,3.88,3.0,2.12,2.38,2.75,3.38,3.12,3.0,1.62,3.25,1.88,3.0,2.25,1.5,4.0,1.0,2.38,3.0,3.0,4.0,3.5,3.75,1.62,3.25,1.0,4.0,0.04,2
3.12,4.0,3.5,4.0,3.62,2.25,1.62,1.0,3.12,3.62,3.12,1.75,2.5,4.0,2.75,3.5,3.12,2.25,2.5,2.5,3.0,1.25,2.38,3.62,2.25,1.25,3.0,3.62,3.88,2.88,2.88,1.38,4.0,2.25,3.38,0.03,2
3.12,4.0,3.62,3.75,4.0,1.0,1.0,1.0,3.0,3.5,2.62,2.75,2.75,2.88,3.0,3.12,3.12,1.75,3.12,2.0,3.5,1.88,2.0,4.0,1.0,1.12,3.75,3.75,4.0,3.0,2.62,1.88,3.38,1.88,3.62,0.02,2
2.75,3.0,3.0,3.0,3.12,2.88,2.62,2.5,2.5,2.75,2.12,1.62,1.75,2.0,2.88,3.12,2.38,3.25,2.0,3.12,2.25,1.75,3.0,2.88,2.88,1.5,2.25,2.88,3.0,2.5,2.5,1.88,2.88,3.0,2.5,0.65,1
2.5,2.88,3.0,2.88,3.25,2.88,2.5,1.88,2.88,3.12,2.5,1.62,1.62,2.5,2.12,3.12,2.12,2.88,1.25,3.38,2.12,1.62,3.0,3.12,2.88,1.12,2.62,2.62,3.0,2.5,2.38,1.62,2.88,2.62,2.75,0.95,1
3.56,3.75,3.06,3.06,3.68,1.0,1.0,1.0,2.5,3.25,2.75,1.37,1.31,2.25,1.5,2.88,2.63,1.0,1.56,1.12,3.06,1.68,1.5,4.19,1.0,1.12,2.81,3.25,3.88,2.12,2.19,1.68,3.18,1.0,4.75,0.04,3
2.12,2.0,2.25,2.0,2.5,2.25,2.0,1.25,1.25,2.12,1.75,1.5,1.5,1.5,1.62,2.38,1.75,3.0,1.5,2.5,1.75,1.0,2.12,2.0,1.75,1.0,1.88,2.0,2.12,1.62,1.88,1.5,2.5,2.25,1.75,0.81,1
3.12,3.0,3.12,3.0,3.25,3.88,3.0,3.0,2.38,3.0,2.25,2.12,2.25,2.38,2.38,3.12,2.38,3.12,2.12,3.12,2.25,1.38,3.12,3.0,3.88,1.88,2.38,2.75,3.0,2.5,2.25,2.12,3.0,3.75,2.88,0.64,1
3.5,3.88,3.62,3.12,3.75,1.0,1.12,1.12,3.0,3.5,3.25,2.88,3.0,3.0,2.88,3.38,3.0,1.38,2.38,1.75,3.0,1.75,2.38,4.0,1.0,2.0,2.88,3.25,4.0,3.38,3.25,1.75,3.12,1.5,3.88,0.01,2
2.62,3.0,2.62,3.25,2.88,2.75,2.62,1.75,2.38,2.75,2.25,1.62,2.0,2.25,2.25,3.0,2.12,2.0,1.0,2.38,2.0,1.38,2.88,2.38,2.25,1.0,2.62,2.62,2.88,2.25,2.12,1.62,2.62,2.38,2.25,0.72,1
3.25,3.75,2.75,3.0,3.62,1.0,1.0,1.0,2.5,3.12,2.5,1.38,1.62,2.12,1.62,3.0,2.62,1.0,2.5,1.5,2.88,1.38,2.25,4.12,1.0,1.25,2.12,2.75,3.75,2.38,1.88,1.38,3.12,1.12,4.88,0.89,3
2.75,3.0,3.0,3.0,2.88,2.62,2.62,1.0,2.25,3.0,2.25,1.75,2.0,2.12,2.0,3.5,2.12,3.75,2.0,4.0,2.25,1.25,3.0,2.88,2.88,1.25,2.12,2.62,3.0,2.0,2.0,1.5,3.0,2.88,2.62,0.88,1
3.88,4.12,3.12,3.62,3.75,1.0,1.0,1.0,3.38,3.25,4.0,2.25,2.12,3.0,2.12,3.25,3.0,1.5,3.0,1.88,3.12,1.38,1.38,3.75,1.0,2.5,3.25,3.88,4.12,3.12,3.0,1.75,3.38,1.0,4.12,0.04,2
2.0,3.0,2.75,3.0,2.88,1.0,1.5,1.12,2.0,2.75,2.0,1.25,1.5,2.12,2.0,2.75,2.0,2.38,1.38,2.38,2.12,1.0,2.25,2.38,1.0,1.25,2.38,2.62,3.0,1.62,1.62,1.25,2.88,2.0,2.0,0.87,3
3.38,4.12,3.5,3.0,3.75,1.0,1.0,1.0,3.0,3.38,2.62,2.12,1.25,2.0,3.12,3.0,2.88,1.0,2.0,1.88,3.0,1.75,1.75,3.88,1.0,1.12,3.0,3.38,4.0,2.5,2.5,1.75,3.25,1.5,3.62,0.92,2
2.62,3.0,2.75,2.75,3.12,2.38,2.25,1.62,2.12,2.62,2.12,1.5,1.62,2.0,2.62,3.12,1.75,3.38,1.88,3.88,1.88,1.5,2.88,2.88,2.38,1.38,2.0,2.62,2.88,2.12,2.0,1.62,2.62,2.75,2.62,0.98,1
3.25,4.0,4.0,3.0,4.25,1.0,1.0,1.0,2.75,4.25,2.88,2.62,2.0,2.88,4.25,3.12,2.75,1.0,3.0,2.0,2.88,2.12,1.88,4.25,1.0,2.0,3.0,3.0,3.88,3.88,4.0,1.88,3.0,1.0,3.5,0.21,2
3.68,3.94,3.75,3.88,3.75,1.06,1.06,1.06,3.37,3.75,3.19,2.88,3.38,3.32,2.88,3.88,3.68,1.44,2.31,2.44,3.56,1.68,2.25,3.94,1.0,1.06,3.18,3.5,3.81,3.68,3.69,1.94,3.81,1.75,3.75,0.59,2
3.62,3.96,3.83,3.37,4.04,1.0,1.08,1.0,2.92,3.87,2.96,3.29,2.46,3.21,3.54,3.71,3.08,1.08,2.12,1.88,3.17,1.75,1.75,4.04,1.0,1.17,3.08,3.25,3.96,3.21,3.29,1.71,3.42,1.08,3.66,0.07,2
2.88,3.88,3.0,3.0,3.0,1.0,1.0,1.0,2.38,3.0,2.75,1.62,1.62,2.38,2.12,3.0,2.38,1.75,2.0,2.12,3.5,1.12,2.12,3.25,1.0,1.0,3.25,3.0,3.88,2.12,2.25,1.88,3.0,2.0,3.0,0.51,3
2.75,3.38,3.0,3.12,2.88,1.0,1.0,1.0,2.88,3.0,2.62,1.62,1.38,3.0,2.62,3.0,2.88,1.12,1.0,2.12,2.88,1.75,2.0,3.0,1.0,1.0,3.62,3.75,3.75,2.25,2.25,1.88,3.0,1.38,2.88,0.94,3
2.75,3.0,2.75,2.88,2.75,1.5,2.12,1.75,2.5,2.75,2.62,1.88,2.25,2.62,2.0,2.88,2.25,2.75,1.88,2.88,2.25,1.0,3.0,2.75,1.62,1.12,2.88,2.75,2.88,2.12,2.12,1.75,3.0,2.12,2.12,0.84,1
3.0,3.62,3.0,2.38,3.0,1.0,1.0,1.0,2.25,3.12,2.75,1.38,1.62,1.75,2.0,3.0,2.0,1.0,1.62,1.38,2.0,1.0,1.75,3.0,1.0,1.75,3.25,3.25,3.62,2.12,2.25,1.75,2.88,1.38,3.0,0.54,3
2.75,3.0,3.12,2.38,3.62,3.0,3.0,1.5,2.38,3.12,2.38,2.0,2.25,1.88,2.0,2.88,2.12,2.88,1.88,2.88,2.38,1.25,3.88,3.0,3.75,1.62,3.12,2.88,3.0,2.75,2.88,1.88,3.0,3.75,2.75,0.91,1
3.34,3.9,3.62,3.44,3.88,1.1,1.34,1.22,2.97,3.72,2.94,2.5,2.41,2.9,2.82,3.46,3.09,1.4,2.56,2.16,3.25,2.03,2.25,3.88,1.16,1.5,3.19,3.28,3.88,3.34,3.37,1.88,3.13,1.56,3.75,0.23,2
3.0,3.75,3.25,3.25,3.88,3.25,3.0,2.5,3.12,3.25,2.88,1.62,2.0,2.75,2.12,3.12,3.0,3.38,1.88,3.75,2.88,1.0,3.5,3.25,3.25,2.5,2.75,3.0,3.62,2.88,2.62,1.75,3.38,3.25,3.0,0.18,0
2.75,3.12,3.0,2.62,3.0,2.62,2.12,1.0,2.75,2.88,2.12,1.38,1.88,2.5,2.0,3.38,2.12,4.0,2.0,4.0,2.5,1.25,2.88,2.88,2.5,1.75,2.75,2.75,3.0,2.62,2.75,1.88,2.88,2.88,2.75,0.93,1
2.62,3.0,3.0,2.62,3.0,2.38,2.38,1.38,2.38,2.88,2.12,1.25,1.38,2.0,2.38,3.0,2.0,3.12,2.38,3.38,2.0,2.12,3.12,3.0,2.12,1.5,2.0,2.62,3.0,2.12,2.12,2.0,2.88,2.25,2.25,0.9,1
3.88,4.0,4.0,3.88,4.12,1.0,1.0,1.0,3.88,4.0,3.25,3.25,3.25,4.0,2.75,4.0,3.88,1.0,3.62,2.0,3.88,2.0,2.12,4.0,1.0,2.5,3.75,4.0,4.12,3.62,3.75,2.0,4.0,1.62,4.0,0.01,2
2.88,3.25,2.75,2.38,3.0,2.75,2.25,2.0,2.25,2.75,2.25,1.5,1.5,2.25,2.25,3.12,2.12,3.12,1.88,3.38,2.12,1.38,3.0,3.12,2.88,1.12,2.12,2.88,3.0,1.62,2.12,1.38,3.0,2.88,2.62,0.95,1
2.62,2.88,3.12,3.0,3.25,2.75,2.88,1.25,3.0,2.75,2.25,1.88,1.88,2.75,1.88,3.12,2.25,3.75,1.38,3.62,2.38,1.0,2.75,2.62,2.25,1.75,2.88,2.62,3.0,2.25,2.0,1.62,2.75,2.75,2.5,0.77,1
4.0,3.88,3.88,3.0,4.0,1.0,1.0,1.0,3.12,3.75,3.25,2.0,2.0,2.75,3.25,3.25,2.75,2.25,3.0,2.75,2.88,2.12,3.0,4.0,1.0,4.0,2.88,3.0,4.0,3.5,3.5,1.75,2.88,1.75,3.88,0.02,2
3.46,3.86,3.62,3.73,3.9,2.17,1.98,1.04,3.25,3.81,3.35,3.08,3.0,3.69,3.17,3.88,3.06,2.98,2.33,3.23,3.14,1.87,3.2,3.9,2.06,2.5,3.04,3.36,3.92,3.4,3.31,1.85,3.64,2.65,3.5,0.03,2
2.75,3.12,2.88,2.88,3.12,2.25,2.38,1.0,2.75,3.0,2.5,1.88,2.12,2.62,2.0,3.12,2.25,2.75,2.12,3.0,2.5,1.12,2.88,2.75,2.38,1.12,2.88,2.75,3.0,2.12,2.12,1.5,3.0,2.5,2.38,0.87,1
2.12,3.0,2.88,2.88,2.88,2.75,2.12,1.25,2.0,2.88,2.0,1.0,1.5,1.88,1.5,2.88,2.0,3.0,1.88,3.12,2.12,1.38,2.75,3.0,2.88,1.0,2.5,2.88,3.0,2.12,2.12,1.12,2.88,2.88,2.12,0.97,1
2.62,3.12,2.38,2.62,3.12,1.88,1.38,1.0,2.0,2.75,2.12,1.75,1.75,2.12,2.0,3.0,2.12,3.88,1.0,3.62,2.5,1.0,2.12,2.75,1.62,1.0,3.12,3.0,3.0,1.88,1.88,1.75,3.12,2.0,2.5,0.67,1
2.75,3.0,3.12,3.0,3.12,3.0,2.25,2.38,2.12,3.0,2.25,1.75,1.75,2.0,2.0,3.0,2.12,3.0,1.88,3.12,2.25,1.62,2.88,2.88,2.88,1.75,2.75,2.88,3.12,2.38,2.25,1.88,2.88,3.0,2.62,0.49,1
2.38,3.12,2.38,2.5,3.12,2.12,1.5,1.0,2.12,2.38,2.12,1.25,1.38,2.12,2.25,3.12,2.12,3.12,1.5,3.88,2.12,1.25,3.0,3.12,1.75,1.88,2.12,2.25,3.12,2.0,2.0,1.38,2.38,2.12,2.62,0.37,1
3.88,4.0,3.5,3.75,3.88,1.0,1.0,1.0,3.88,3.62,3.75,2.75,2.75,3.0,2.12,3.12,3.0,1.12,2.88,2.0,3.12,1.75,2.0,3.88,1.0,1.38,3.88,4.0,4.12,3.12,2.88,1.88,3.12,1.5,3.25,0.02,2
4.0,4.12,4.25,3.75,4.25,1.0,1.12,1.0,3.25,4.25,3.5,2.12,2.0,3.12,3.75,3.62,2.88,1.0,3.0,1.5,3.12,1.62,1.5,4.25,1.0,4.12,3.25,3.88,4.12,4.0,4.0,1.38,3.25,1.0,4.12,0.2,2
2.75,3.0,2.62,3.0,3.0,1.38,1.75,2.12,2.5,2.88,2.12,1.38,1.75,2.25,2.12,3.0,2.12,2.62,1.88,2.75,2.0,1.0,2.75,2.75,1.38,1.38,2.12,2.62,2.88,2.0,2.0,1.5,3.0,2.12,2.0,0.64,1
3.88,4.0,3.88,3.62,4.12,1.0,1.0,1.0,4.0,3.88,3.75,3.12,2.88,3.75,2.88,4.0,3.62,1.0,1.62,2.0,3.62,1.38,1.38,4.12,1.0,1.5,3.5,3.75,4.0,3.25,3.25,1.62,4.0,1.0,4.0,0.01,2
2.62,3.0,2.88,2.88,3.0,1.62,1.5,1.0,2.0,2.75,2.12,1.62,1.88,2.0,2.0,3.12,1.88,3.12,1.62,3.5,2.0,1.25,2.75,3.12,1.38,1.88,2.0,2.62,2.62,2.0,2.12,1.38,2.62,1.88,2.75,0.61,1
3.12,4.0,3.12,4.0,3.25,1.0,1.38,1.0,3.75,3.0,3.12,2.0,2.62,3.12,2.12,3.75,3.0,1.62,2.0,2.0,3.12,1.38,1.88,3.12,1.0,1.62,4.0,4.0,4.0,2.88,2.75,1.88,3.25,1.88,3.12,0.01,2
2.75,3.75,2.62,3.0,3.0,1.0,1.0,1.0,2.75,2.75,2.12,1.62,1.88,2.12,2.12,2.88,2.62,1.38,1.12,2.12,2.62,1.25,1.75,3.75,1.0,1.0,3.0,3.0,3.62,2.0,2.0,1.38,3.0,1.5,3.12,0.96,3
3.25,3.38,3.12,3.12,3.38,3.0,3.0,3.25,3.0,3.25,3.0,2.38,2.38,2.88,3.0,3.12,2.25,3.0,2.75,3.12,3.0,1.0,3.25,3.12,3.5,2.0,3.0,2.88,3.38,3.0,2.88,2.12,3.0,4.0,3.0,0.15,0
2.88,3.12,2.75,3.0,3.12,2.25,1.75,1.0,2.88,2.88,2.25,1.38,1.38,2.38,2.12,3.25,2.75,2.62,1.25,2.38,2.75,1.5,2.12,3.0,1.75,1.0,3.0,3.12,3.25,2.12,2.12,1.38,3.0,2.25,2.88,0.84,3
3.75,4.0,3.75,3.75,3.88,1.0,1.0,1.0,3.75,3.88,3.12,3.0,2.75,3.88,3.0,3.88,4.0,1.75,2.62,1.75,3.88,1.62,1.75,3.88,1.0,1.62,3.62,3.88,4.0,3.62,3.62,1.5,3.75,1.0,3.62,0.01,2
3.0,3.62,2.88,3.12,3.0,1.5,1.25,1.0,3.0,2.75,2.62,1.38,1.5,2.12,2.0,3.25,2.25,1.62,1.62,2.12,2.88,1.25,2.0,3.12,1.0,1.88,3.25,3.12,3.0,2.25,2.0,1.88,3.0,2.0,3.0,0.61,3
3.12,3.75,3.69,3.06,3.94,2.44,2.69,1.81,3.0,3.56,2.81,1.94,2.32,2.75,3.06,3.25,2.62,2.56,2.94,2.88,2.88,2.62,2.94,3.81,2.38,2.5,2.82,2.94,3.82,3.5,3.13,2.75,2.88,2.69,3.38,0.02,0
2.25,3.62,2.88,3.0,3.0,1.62,1.5,1.0,2.5,2.75,2.25,1.88,1.88,2.12,2.0,2.88,2.25,2.38,1.12,2.38,2.25,1.25,2.0,2.88,1.62,1.0,3.75,2.88,3.62,2.12,2.0,1.25,2.88,2.0,2.75,0.83,3
2.62,3.0,2.62,2.62,3.0,2.0,2.0,1.0,2.12,2.75,2.0,1.75,1.62,2.0,1.88,2.75,2.12,2.25,2.38,2.5,2.12,1.0,2.12,2.62,2.0,1.0,2.62,2.88,3.0,2.0,2.0,1.88,3.12,2.12,2.5,0.84,1
3.38,3.88,3.25,4.0,3.75,1.0,1.12,1.0,3.12,3.62,3.12,1.62,1.88,2.88,2.88,3.88,2.88,2.62,1.75,2.62,2.88,1.25,2.0,3.75,1.0,2.62,4.12,4.0,3.88,3.0,2.88,1.75,3.62,1.75,3.25,0.06,2
3.75,4.0,4.12,4.0,4.0,1.0,1.0,1.0,3.75,4.0,3.88,2.62,2.75,3.5,3.0,4.0,3.38,1.75,3.12,2.12,3.62,1.5,2.25,4.0,1.0,1.88,4.25,4.0,4.12,3.62,3.5,1.5,3.75,1.5,4.0,0.0,2
2.75,3.38,2.88,2.75,2.88,1.0,1.5,1.0,2.62,2.62,2.12,1.88,1.88,2.62,2.0,3.25,2.12,1.0,1.12,2.0,2.38,1.75,2.0,3.62,1.0,1.0,2.75,2.62,2.88,2.0,2.0,1.38,3.0,1.0,3.0,0.99,3
3.12,3.25,3.12,3.0,3.12,1.0,1.0,1.0,3.12,3.12,3.12,2.12,2.12,2.75,2.88,3.12,2.88,2.12,2.25,2.75,2.88,1.5,2.88,3.12,1.0,2.0,3.12,3.12,3.38,2.75,2.75,1.75,3.0,2.0,3.12,0.13,0
2.62,3.38,2.75,2.75,3.0,1.0,1.0,1.0,2.0,2.88,2.12,1.88,1.88,2.12,2.75,3.0,2.25,1.75,1.5,2.0,2.62,1.62,2.0,3.12,1.0,1.0,3.12,3.0,3.25,2.0,2.0,1.5,3.0,1.88,2.88,0.95,3
3.0,3.0,3.12,2.88,3.0,2.88,2.5,1.0,2.62,3.0,2.88,1.88,1.88,2.5,2.62,3.62,2.25,3.75,1.88,4.0,2.12,1.88,2.88,3.5,2.62,2.0,2.25,2.88,3.12,2.75,2.5,1.5,3.0,2.88,3.0,0.71,1
2.0,2.62,1.88,2.0,2.38,1.38,1.38,1.0,1.88,2.0,2.0,1.5,1.62,1.88,1.75,2.25,1.75,2.12,1.12,2.25,1.88,1.0,2.12,1.88,1.38,1.0,2.0,2.38,2.75,1.88,1.88,1.0,2.0,2.12,1.75,0.6,1
3.75,3.88,3.62,3.75,3.88,1.0,1.5,1.0,3.5,3.75,3.12,2.62,2.75,3.5,2.12,3.5,3.62,1.0,3.25,2.12,3.62,1.38,2.38,3.62,1.0,1.12,3.5,3.75,3.88,3.0,2.88,1.75,3.75,1.75,3.38,0.02,2
2.0,3.0,2.88,3.0,2.88,1.62,1.62,1.0,2.38,2.75,2.0,2.12,2.0,2.25,2.88,2.88,2.62,2.0,1.12,2.38,2.62,1.25,2.25,3.12,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.38,2.12,2.75,0.83,3
3.25,3.88,3.5,3.12,3.75,1.0,1.0,1.0,2.5,3.5,2.38,2.38,2.38,2.75,3.0,3.62,2.88,1.0,1.88,1.25,2.88,1.38,1.62,4.0,1.0,1.0,3.12,3.62,4.0,2.25,2.25,1.5,3.0,1.0,3.62,0.98,2
3.12,3.75,3.38,2.88,3.75,1.0,1.38,1.0,2.62,3.12,3.0,1.75,2.0,2.38,3.12,2.88,2.38,1.62,2.0,2.12,2.5,2.62,2.5,4.0,1.0,3.25,2.38,2.88,3.38,3.0,2.88,1.75,2.88,1.75,3.75,0.65,0
2.12,3.12,2.62,3.0,3.0,2.38,2.12,1.12,2.25,2.88,2.25,1.5,1.88,2.12,2.0,3.12,2.38,3.12,1.88,3.25,2.38,1.0,3.0,3.12,2.25,2.0,2.25,2.62,3.0,2.0,2.0,1.38,3.0,2.38,2.75,0.92,1
2.12,3.0,2.0,3.0,2.75,1.0,1.0,1.0,2.0,2.88,2.0,2.0,2.0,2.25,1.88,2.88,2.0,1.75,1.12,2.12,2.0,1.12,2.0,2.38,1.0,1.0,3.0,2.88,2.88,2.0,2.0,1.12,2.25,2.0,2.0,0.91,3
2.38,3.12,2.62,2.75,2.88,2.75,2.0,1.62,2.25,2.75,2.38,1.38,1.5,2.38,2.12,3.12,2.25,3.12,1.88,3.25,2.38,1.25,2.88,3.12,2.5,1.38,2.12,2.88,2.88,2.0,2.0,1.88,3.0,2.88,2.75,0.93,1
2.38,3.38,2.75,3.0,3.0,1.0,1.12,1.0,2.62,3.0,2.25,1.88,1.88,3.25,2.12,2.75,2.75,2.5,1.25,2.38,2.62,1.38,1.75,2.75,1.0,1.25,2.62,3.0,3.5,2.12,1.88,1.0,3.12,1.75,2.75,0.97,3
4.0,4.0,3.88,3.0,4.12,1.0,1.88,1.12,3.62,3.75,3.88,2.25,2.12,3.0,4.25,3.25,2.75,1.62,3.12,2.38,3.12,3.38,2.62,4.25,1.0,4.62,3.0,3.25,4.12,3.38,3.38,2.75,3.12,2.0,4.0,0.1,2
2.88,3.12,2.88,2.88,3.12,2.88,2.25,1.12,2.88,3.0,2.12,2.0,2.25,2.62,2.38,3.5,2.25,3.5,1.88,3.88,2.38,1.75,2.88,3.12,2.75,2.0,2.38,2.75,3.12,2.38,2.12,1.88,3.0,3.0,2.88,0.9,1
3.25,3.38,3.25,2.88,3.5,2.75,2.12,1.0,2.62,3.25,2.88,1.88,1.88,2.75,2.62,3.62,2.25,4.0,2.12,4.12,2.38,1.75,3.62,3.25,2.75,2.88,2.5,2.62,3.12,2.62,2.88,1.0,3.25,2.88,3.0,0.85,0
3.22,3.62,3.32,2.97,3.75,2.28,2.09,1.09,2.88,3.28,2.82,1.94,2.03,2.72,2.78,3.25,2.25,2.66,1.66,3.09,2.5,1.78,3.0,3.75,2.06,3.28,2.78,2.97,3.28,2.59,2.62,1.53,3.16,2.53,3.25,0.9,0
3.75,4.0,4.19,4.0,4.25,1.0,1.12,1.0,3.32,4.31,3.25,3.56,3.12,3.68,3.06,3.88,3.62,1.94,3.0,2.0,3.94,1.82,1.88,4.06,1.0,1.87,3.18,4.0,4.12,4.0,4.06,1.82,3.69,1.25,4.12,0.02,2
3.25,4.0,3.25,4.0,4.0,1.0,1.0,1.0,3.12,3.12,3.12,1.88,2.0,3.75,2.12,4.0,3.5,2.0,2.12,2.12,3.5,1.5,2.0,3.75,1.0,1.5,3.0,4.0,3.88,3.12,3.0,1.62,3.25,1.75,3.5,0.02,2
3.12,3.88,2.88,3.62,3.12,1.0,1.0,1.0,2.88,3.0,2.75,1.88,1.88,2.5,2.0,3.88,2.88,2.0,1.62,2.38,3.0,1.38,2.12,3.12,1.0,1.38,3.75,3.75,4.12,2.0,2.0,1.75,3.12,2.0,3.0,0.35,3
2.75,3.25,2.88,2.88,3.0,1.0,1.0,1.0,2.25,3.25,2.12,1.25,1.38,2.38,1.5,3.38,2.75,1.5,1.12,2.0,2.88,1.12,1.88,2.88,1.0,1.0,2.88,4.0,3.38,1.88,1.5,1.25,3.0,1.25,2.25,0.36,3
3.0,3.38,3.25,3.75,3.75,2.5,2.5,1.12,3.38,3.25,3.25,2.75,2.75,3.5,2.88,3.62,3.0,3.0,1.5,3.38,3.0,1.5,3.12,3.5,2.25,2.25,2.62,3.38,3.62,3.0,3.0,1.88,3.5,2.75,3.12,0.57,0
3.25,4.12,4.0,3.88,4.12,1.0,1.12,1.0,3.25,4.0,3.0,2.25,2.25,3.0,3.0,3.88,3.12,1.38,3.0,1.75,3.5,1.88,1.75,4.12,1.0,1.88,3.25,3.88,4.0,3.75,3.88,2.12,3.25,1.25,4.0,0.13,2
2.38,2.88,2.75,2.62,2.88,3.12,2.62,1.0,2.25,2.75,2.12,1.75,1.88,2.12,2.12,2.75,2.12,3.12,1.62,3.25,2.25,1.25,3.38,2.75,3.0,1.12,2.25,2.62,2.88,2.25,2.12,1.88,2.75,2.88,2.38,0.97,1
3.75,4.0,3.38,4.0,3.88,1.0,1.0,1.0,3.75,3.75,3.62,2.5,2.75,3.75,2.75,4.0,3.62,1.12,2.38,2.25,3.62,1.88,2.88,4.0,1.0,1.0,3.62,4.0,4.0,3.0,3.12,1.5,3.75,2.0,3.75,0.01,2
2.25,3.0,2.38,2.88,2.88,1.62,1.62,1.12,2.0,2.75,2.0,1.5,1.5,1.88,1.75,3.12,1.75,3.0,1.5,3.12,1.88,1.0,2.12,2.88,1.38,1.0,1.88,2.62,2.88,2.0,1.88,1.75,2.38,2.0,2.12,0.73,1
2.25,2.88,2.38,2.62,2.75,2.75,1.75,1.0,1.88,2.38,1.38,1.0,1.0,2.0,1.0,2.5,2.0,3.0,1.12,3.0,2.0,1.0,2.25,2.62,2.5,1.0,2.38,2.5,2.88,1.38,1.38,1.0,2.5,2.5,2.5,0.93,1
3.12,4.0,3.12,3.62,3.62,1.0,1.0,1.0,3.12,3.38,3.12,1.5,1.38,2.75,2.0,3.88,3.0,1.12,2.88,1.62,3.12,1.5,1.25,3.75,1.0,2.25,4.0,4.0,4.0,3.12,3.12,1.5,3.25,1.0,3.62,0.01,2
3.62,3.88,3.5,3.12,3.75,1.0,1.0,1.0,2.88,3.5,3.12,1.62,1.12,2.12,3.12,3.0,3.25,1.0,1.88,1.0,3.38,1.5,1.25,3.88,1.0,1.0,3.62,3.12,4.0,2.88,3.0,1.75,3.12,1.0,3.75,0.04,2
