SOC2018_Code,SOC2018_Occupation_Title,Automation_Probability,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
17-2072,"Electronics Engineers, Except Computer",0.02,3.12,3.75,3.69,3.06,3.94,2.44,2.69,1.81,3.0,3.56,2.81,1.94,2.32,2.75,3.06,3.25,2.62,2.56,2.94,2.88,2.88,2.62,2.94,3.81,2.38,2.5,2.82,2.94,3.82,3.5,3.13,2.75,2.88,2.69,3.38
17-2081,Environmental Engineers,0.02,3.75,4.0,3.88,3.75,4.0,1.0,1.0,1.0,3.0,3.88,3.0,2.25,2.25,2.75,3.38,4.0,3.0,2.0,2.5,2.62,3.0,1.62,2.62,4.0,1.0,3.38,2.88,3.0,4.0,3.25,3.25,1.62,3.25,1.62,4.0
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.03,3.56,3.82,3.81,3.06,4.0,1.0,1.5,1.0,3.25,3.81,3.18,2.25,2.32,2.87,3.0,3.25,3.0,2.0,2.75,2.75,3.06,1.75,3.0,4.0,1.0,3.06,3.06,3.12,3.81,3.75,3.69,2.44,3.25,2.38,3.82
17-2112,Industrial Engineers,0.03,3.47,3.94,3.91,3.03,3.94,1.5,1.75,1.38,3.0,3.44,3.06,2.19,2.34,2.85,3.47,3.66,2.75,2.15,3.0,2.91,2.88,1.97,2.78,4.03,1.44,3.06,2.88,3.12,3.94,3.34,3.44,2.68,3.16,2.44,3.88
17-2121,Marine Engineers and Naval Architects,0.01,3.5,3.75,4.12,3.38,4.12,2.62,2.25,1.62,2.88,3.75,2.88,2.5,2.62,3.0,3.62,3.38,2.62,3.0,3.0,3.5,2.75,2.25,3.38,3.88,2.5,3.5,2.88,3.0,3.75,3.38,3.38,2.5,3.5,2.88,3.75
17-2131,Materials Engineers,0.02,3.25,4.0,4.0,3.0,3.88,1.5,2.0,1.0,3.12,3.25,3.0,2.12,2.62,3.0,3.75,3.12,3.0,2.25,3.12,3.0,3.0,1.88,3.12,4.0,1.5,4.0,3.12,3.0,3.75,3.12,3.0,2.62,3.0,2.25,3.75
17-2141,Mechanical Engineers,0.01,3.5,3.75,3.71,3.17,4.0,1.75,2.25,1.54,2.96,3.75,2.96,2.08,2.29,2.79,3.71,3.33,2.75,2.54,3.42,3.04,2.87,2.54,3.08,3.96,1.75,3.58,2.79,2.92,3.67,3.58,3.58,3.04,3.08,2.63,3.67
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0.14,3.5,3.88,4.12,3.5,4.0,1.0,2.25,1.0,3.12,4.0,3.12,2.88,3.0,3.0,3.75,3.75,2.88,2.0,3.12,3.0,2.88,2.62,2.88,4.0,1.0,3.5,2.62,2.88,4.0,3.75,3.75,2.5,3.38,1.88,4.0
17-2161,Nuclear Engineers,0.07,3.88,4.0,4.0,3.62,4.12,1.62,1.75,1.0,3.0,4.0,3.0,2.12,2.12,2.75,4.0,4.0,3.0,2.25,3.75,3.62,3.12,1.88,3.25,4.0,1.62,4.12,2.88,2.88,3.75,3.75,3.75,2.88,3.5,3.12,4.0
17-2171,Petroleum Engineers,0.16,3.75,3.88,3.88,3.62,4.0,1.12,1.88,1.75,3.0,3.88,3.0,2.5,2.75,2.88,3.25,3.75,2.88,2.12,2.25,2.88,3.0,1.88,2.62,4.0,1.0,3.38,3.0,3.62,3.88,3.88,3.88,2.25,3.62,2.25,3.88
17-2199,"Engineers, All Other",0.01,3.48,3.77,3.76,3.05,3.97,1.89,2.2,1.34,2.98,3.63,3.03,2.14,2.17,2.8,3.58,3.45,2.8,2.55,3.16,2.98,2.92,2.39,2.97,3.92,1.88,3.44,2.77,3.0,3.62,3.45,3.31,2.75,3.12,2.45,3.77
17-3011,Architectural and Civil Drafters,0.52,3.38,3.25,3.5,3.12,3.38,1.25,1.62,1.25,3.12,3.12,3.0,1.88,1.88,2.62,3.25,3.25,2.75,1.5,2.25,2.38,2.75,2.38,2.5,3.62,1.25,2.5,2.88,3.0,3.12,3.5,2.75,2.25,3.25,2.0,3.38
17-3012,Electrical and Electronics Drafters,0.81,3.25,3.62,3.38,3.0,3.5,1.25,1.62,1.25,2.75,3.5,2.62,1.88,1.88,2.5,2.75,3.0,2.5,1.5,2.62,2.25,2.62,2.12,2.88,3.38,1.12,1.88,2.75,2.88,3.25,2.88,2.88,2.25,3.12,2.38,3.5
17-3013,Mechanical Drafters,0.68,3.25,3.25,3.12,3.0,3.25,1.0,1.25,1.0,3.0,3.0,2.88,2.0,2.0,2.25,3.25,3.0,2.25,1.5,3.0,2.12,2.38,2.25,2.75,3.25,1.0,1.88,2.38,3.0,3.12,2.88,2.88,2.38,2.88,2.0,3.0
17-3021,Aerospace Engineering and Operations Technologists and Technicians,0.48,3.0,3.62,3.5,2.88,3.88,2.88,2.62,2.12,2.75,3.25,2.88,2.12,2.12,2.38,3.0,3.12,2.5,3.0,2.75,3.75,2.62,2.12,3.75,3.75,3.0,3.12,2.62,2.88,3.62,3.0,3.0,2.12,3.12,3.25,3.12
17-3022,Civil Engineering Technologists and Technicians,0.75,2.88,3.75,3.12,3.0,3.88,1.0,1.12,1.0,2.38,3.12,2.25,2.12,2.12,2.25,3.62,3.25,2.5,2.12,2.62,2.38,2.5,1.88,2.12,3.75,1.0,2.75,2.75,2.88,3.38,2.88,2.75,1.75,2.88,1.75,3.25
17-3023,Electrical and Electronic Engineering Technologists and Technicians,0.84,3.12,3.62,3.38,3.0,3.75,3.0,2.62,2.0,2.62,3.12,2.62,2.12,2.12,2.62,2.75,3.12,2.25,2.5,2.0,3.0,2.5,1.88,2.88,3.88,3.5,1.75,2.88,2.88,3.25,3.12,2.88,2.0,2.88,3.5,3.25
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,0.81,3.12,3.44,3.5,3.0,3.75,3.5,3.12,3.12,2.88,3.25,2.94,1.75,1.88,2.62,2.94,3.44,2.19,3.44,2.25,3.88,2.25,2.69,3.62,3.56,3.88,2.75,2.56,2.88,3.18,3.12,3.12,2.44,3.06,3.94,3.18
17-3025,Environmental Engineering Technologists and Technicians,0.25,3.75,3.88,3.12,3.0,3.88,2.38,2.5,1.0,2.88,3.25,3.0,2.12,2.38,3.0,3.0,3.38,2.88,2.88,2.75,3.0,2.88,2.12,3.12,3.88,2.38,3.38,2.75,3.0,3.38,3.0,2.88,2.0,3.12,2.75,3.12
17-3026,Industrial Engineering Technologists and Technicians,0.03,3.19,3.75,3.68,3.06,3.94,2.62,2.31,1.0,2.94,3.25,2.88,1.82,2.18,2.5,3.25,3.38,2.44,2.44,2.56,3.0,2.63,2.13,3.12,4.06,3.0,3.25,2.56,2.82,3.32,3.38,3.12,2.62,3.06,2.62,3.44
17-3027,Mechanical Engineering Technologists and Technicians,0.38,3.06,3.5,3.44,3.0,3.62,2.81,2.82,1.88,2.56,3.25,2.56,1.82,2.06,2.5,3.18,3.12,2.56,2.94,2.44,3.38,2.69,2.06,3.25,3.68,2.87,2.81,2.69,3.0,3.56,2.94,3.0,2.19,3.0,2.94,3.38
17-3031,Surveying and Mapping Technicians,0.96,3.0,3.12,3.12,3.0,3.38,1.0,1.25,1.0,2.62,2.88,2.5,1.62,1.88,2.62,3.25,3.12,2.38,2.5,2.0,2.38,2.88,2.25,2.25,3.88,1.12,1.62,2.88,2.88,3.12,2.62,2.62,1.75,2.88,1.75,3.25
19-1011,Animal Scientists,0.06,3.88,3.88,4.0,3.12,4.0,1.12,1.12,1.0,3.0,4.0,3.25,2.0,2.25,3.0,3.38,3.75,3.0,1.88,2.75,2.5,3.0,2.0,2.75,4.12,1.0,4.0,3.0,3.12,3.88,3.75,3.25,1.88,3.25,1.88,4.0
19-1012,Food Scientists and Technologists,0.08,4.0,3.88,3.88,3.12,4.0,1.0,1.88,1.0,3.0,3.88,3.0,1.88,2.0,2.62,3.12,3.62,3.12,2.25,2.62,2.88,3.12,1.5,3.38,4.0,1.0,3.88,3.0,3.25,3.88,3.62,3.62,1.88,3.12,2.0,3.88
19-1013,Soil and Plant Scientists,0.02,4.0,3.88,3.88,3.0,4.0,1.0,1.0,1.0,3.12,3.75,3.25,2.0,2.0,2.75,3.25,3.25,2.75,2.25,3.0,2.75,2.88,2.12,3.0,4.0,1.0,4.0,2.88,3.0,4.0,3.5,3.5,1.75,2.88,1.75,3.88
19-1021,Biochemists and Biophysicists,0.03,4.12,4.12,4.12,3.0,4.25,1.88,2.25,1.12,3.62,4.0,4.0,1.88,2.0,3.0,3.88,3.88,2.5,2.12,3.12,2.75,3.0,2.25,3.0,4.38,1.75,4.75,2.5,3.0,4.12,3.38,3.12,2.12,2.88,1.88,4.25
19-1022,Microbiologists,0.01,3.88,3.88,3.62,3.0,4.0,1.0,1.75,1.0,3.0,3.75,3.62,2.25,2.12,3.0,3.12,3.62,2.62,2.5,2.88,2.75,2.62,1.88,2.88,4.12,1.0,4.62,3.0,3.0,3.88,3.0,2.88,1.88,3.0,2.0,4.0
19-1023,Zoologists and Wildlife Biologists,0.3,3.62,4.0,4.0,3.75,4.0,1.0,1.0,1.0,3.0,4.0,3.0,2.25,2.25,3.0,3.0,3.38,3.12,2.0,2.0,2.75,3.12,1.88,2.12,4.0,1.0,3.88,3.0,3.25,4.0,3.25,3.0,2.0,3.38,1.62,3.88
19-1029,"Biological Scientists, All Other",0.02,3.84,4.0,3.94,3.06,4.06,1.0,1.38,1.0,3.38,3.84,3.47,2.16,2.25,3.0,3.75,3.47,2.81,1.88,2.31,2.44,2.97,2.28,2.53,4.22,1.0,4.31,2.78,3.25,4.0,3.22,3.06,1.94,3.12,1.9,4.06
19-1031,Conservation Scientists,0.02,3.25,3.92,3.45,3.25,3.62,1.29,1.34,1.04,3.04,3.37,2.96,2.04,2.25,2.92,2.63,3.33,2.96,2.29,2.63,2.5,3.0,1.63,2.12,3.88,1.21,2.92,3.21,3.37,3.83,3.04,3.0,1.71,3.08,1.88,3.5
19-1032,Foresters,0.01,3.12,4.0,3.88,3.5,3.88,1.62,2.12,1.0,3.0,3.75,2.88,2.88,3.12,3.12,2.88,3.75,3.25,2.88,2.88,3.0,3.12,1.5,2.5,3.88,1.62,2.75,3.0,3.25,3.88,3.62,3.62,2.12,3.5,2.0,3.75
19-1041,Epidemiologists,0.2,4.0,4.12,4.25,3.75,4.25,1.0,1.12,1.0,3.25,4.25,3.5,2.12,2.0,3.12,3.75,3.62,2.88,1.0,3.0,1.5,3.12,1.62,1.5,4.25,1.0,4.12,3.25,3.88,4.12,4.0,4.0,1.38,3.25,1.0,4.12
19-1042,"Medical Scientists, Except Epidemiologists",0.0,4.12,4.0,3.88,3.0,4.0,1.0,1.62,1.0,3.25,4.0,3.38,1.75,1.88,2.88,3.62,3.62,2.88,1.88,2.88,2.75,2.88,2.0,2.25,4.0,1.0,4.12,3.12,3.0,4.12,3.75,3.25,1.75,3.12,1.75,4.25
19-2011,Astronomers,0.04,4.0,4.0,3.5,3.12,4.12,1.38,1.62,1.0,3.0,3.62,3.75,2.5,2.0,3.0,4.12,3.38,2.62,1.75,2.62,2.0,3.0,2.25,1.75,4.25,1.12,4.25,2.88,3.12,4.0,3.0,3.0,2.0,2.88,1.38,4.12
19-2012,Physicists,0.1,4.0,4.0,3.88,3.0,4.12,1.0,1.88,1.12,3.62,3.75,3.88,2.25,2.12,3.0,4.25,3.25,2.75,1.62,3.12,2.38,3.12,3.38,2.62,4.25,1.0,4.62,3.0,3.25,4.12,3.38,3.38,2.75,3.12,2.0,4.0
19-2021,Atmospheric and Space Scientists,0.67,4.0,4.0,3.88,3.0,4.0,1.0,1.0,1.0,3.0,3.75,3.12,1.75,1.75,2.88,3.38,3.12,2.5,1.12,2.62,2.0,2.88,2.0,1.62,4.12,1.0,4.0,2.88,3.12,4.0,3.12,2.88,1.75,3.0,1.0,3.88
19-2031,Chemists,0.1,3.62,3.75,3.62,3.0,4.0,2.75,2.5,1.0,3.0,3.25,3.0,1.88,2.25,2.75,3.75,3.5,2.12,2.25,2.5,3.0,2.5,2.12,3.25,4.0,2.12,4.12,2.5,3.0,3.88,3.12,3.12,1.62,3.0,2.88,3.75
19-2032,Materials Scientists,0.02,3.75,4.0,4.0,3.0,4.0,1.38,1.38,1.0,2.88,3.62,3.0,2.12,2.12,2.5,3.5,3.12,2.62,2.0,3.12,2.75,3.12,1.88,2.88,4.0,1.38,4.0,2.75,3.0,3.75,3.0,3.12,1.88,3.0,2.0,3.88
19-2041,"Environmental Scientists and Specialists, Including Health",0.03,3.66,3.97,3.84,3.22,3.94,1.0,1.1,1.03,3.03,3.5,3.06,2.18,2.18,2.94,3.22,3.4,2.94,1.53,2.5,2.22,3.03,2.03,2.06,4.06,1.0,3.44,2.97,3.18,3.94,3.47,3.38,1.91,3.16,1.4,3.94
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.63,3.25,3.88,3.88,3.12,4.0,1.0,1.75,1.0,3.0,3.88,3.12,1.75,1.62,2.62,3.38,3.12,2.62,2.0,2.62,2.0,2.88,2.0,2.0,4.12,1.0,4.0,2.62,3.0,4.0,3.25,3.25,1.62,2.88,1.5,3.88
19-2043,Hydrologists,0.01,3.62,3.88,3.75,3.12,4.0,2.12,1.88,2.0,3.0,3.5,3.0,1.75,2.0,2.75,3.75,3.5,2.88,1.88,2.38,2.62,3.0,2.12,2.75,3.88,1.88,3.88,2.88,3.0,3.75,3.38,3.0,1.62,2.88,2.0,3.62
19-2099,"Physical Scientists, All Other",0.43,3.38,3.88,3.75,3.0,4.0,1.0,1.5,1.0,3.0,3.75,3.12,1.75,1.88,2.88,3.75,3.38,2.5,2.0,3.25,2.5,2.62,2.88,2.38,4.0,1.0,3.88,2.88,2.88,3.88,3.62,3.62,2.38,2.88,1.5,3.88
19-3011,Economists,0.43,3.82,4.0,3.68,3.0,4.06,1.0,1.0,1.0,3.25,3.81,3.18,2.37,1.87,2.56,4.06,3.31,2.38,1.0,2.31,1.25,3.0,2.0,1.56,4.06,1.0,2.13,2.88,3.0,3.75,3.25,3.18,1.56,3.0,1.0,4.06
19-3022,Survey Researchers,0.23,3.88,4.25,3.88,3.38,4.25,1.0,1.0,1.0,3.0,3.75,3.25,1.88,2.0,3.0,4.0,3.12,2.88,1.0,2.62,1.75,3.0,2.75,2.25,4.25,1.0,2.88,3.12,3.12,4.25,3.25,3.25,1.88,3.12,1.0,4.25
19-3032,Industrial-Organizational Psychologists,0.01,3.88,4.38,4.0,3.75,4.12,1.0,1.0,1.0,3.62,4.12,3.62,2.12,2.12,3.38,3.5,3.88,3.25,1.0,3.5,2.0,3.75,2.75,2.0,4.38,1.0,3.75,3.38,3.88,4.12,3.88,4.0,1.88,3.62,1.0,4.25
19-3033,Clinical and Counseling Psychologists,0.0,3.88,4.25,3.75,3.5,4.25,1.0,1.0,1.0,3.25,3.75,3.62,1.5,1.5,2.75,2.25,3.75,3.12,1.0,1.62,1.75,3.5,1.62,1.0,4.75,1.0,2.38,3.75,4.38,4.12,3.0,3.0,1.62,3.25,1.0,4.25
19-3034,School Psychologists,0.0,3.62,4.38,3.75,3.62,4.0,1.0,1.0,1.0,3.25,3.88,3.5,1.0,1.0,2.75,2.75,4.0,3.38,1.0,1.75,1.75,3.5,1.75,1.38,4.25,1.0,2.0,3.75,4.0,4.25,3.12,3.12,1.62,3.38,1.0,4.0
19-3039,"Psychologists, All Other",0.0,3.82,4.44,4.06,3.38,4.25,1.0,1.0,1.0,3.38,4.18,3.5,1.88,1.82,2.82,2.81,3.62,3.0,1.06,1.69,1.94,3.32,1.82,1.82,4.31,1.0,3.12,3.68,4.12,4.12,3.18,3.0,1.68,3.25,1.38,4.13
19-3041,Sociologists,0.06,4.0,4.12,3.62,3.12,4.0,1.0,1.0,1.0,3.62,3.62,3.88,1.62,1.75,2.88,2.88,3.5,2.75,1.0,2.38,1.38,2.88,1.75,1.12,4.0,1.0,3.12,3.0,3.88,4.12,3.12,3.12,1.62,3.0,1.0,4.0
19-3051,Urban and Regional Planners,0.13,3.25,4.12,3.75,3.25,4.0,1.0,1.0,1.0,3.0,4.12,3.0,2.5,2.25,3.0,3.0,3.0,3.38,1.38,3.12,1.75,3.12,1.75,1.62,4.0,1.0,2.62,3.25,3.62,4.12,4.0,3.75,1.62,3.25,1.0,3.88
19-3091,Anthropologists and Archeologists,0.01,3.88,4.12,3.75,3.12,4.12,1.0,1.12,1.0,3.25,3.25,3.38,1.88,2.0,3.0,2.75,3.5,2.62,1.5,1.5,1.75,2.88,1.5,1.62,4.12,1.0,3.0,2.75,3.12,4.25,3.0,2.88,1.5,3.0,1.0,4.25
19-3092,Geographers,0.25,3.62,3.75,3.5,3.0,4.0,1.12,1.0,1.0,3.12,3.62,3.12,1.62,1.75,2.5,3.0,3.0,2.75,1.12,2.5,1.62,2.62,1.88,1.38,4.12,1.0,3.38,3.0,3.0,4.0,3.38,3.12,1.75,3.0,1.0,4.12
19-3093,Historians,0.44,4.0,4.0,3.38,3.0,4.12,1.0,1.0,1.0,3.12,3.12,3.25,1.62,1.75,2.5,2.0,3.0,2.5,1.0,2.0,1.38,2.75,1.38,1.62,4.75,1.0,2.62,2.38,3.12,4.0,2.25,2.25,1.5,2.88,1.0,4.12
19-3094,Political Scientists,0.04,4.12,4.12,3.62,3.0,4.0,1.0,1.0,1.0,3.5,3.62,3.5,1.62,1.62,2.12,3.0,2.88,2.75,1.0,2.5,1.38,2.88,1.5,1.38,4.25,1.0,2.62,3.0,3.75,4.12,3.0,3.12,1.5,2.88,1.0,4.0
19-3099,"Social Scientists and Related Workers, All Other",0.04,3.75,4.0,4.0,3.62,4.0,1.0,1.12,1.0,2.88,3.88,3.0,2.12,2.38,2.75,3.38,3.12,3.0,1.62,3.25,1.88,3.0,2.25,1.5,4.0,1.0,2.38,3.0,3.0,4.0,3.5,3.75,1.62,3.25,1.0,4.0
19-4012,Agricultural Technicians,0.97,3.25,3.5,3.13,3.0,3.5,2.25,2.06,1.44,2.88,3.18,2.94,1.82,1.94,2.5,3.06,3.18,2.56,2.82,2.06,2.94,2.62,1.88,2.31,3.63,2.25,2.82,2.68,2.82,3.38,2.87,2.81,1.56,3.0,2.37,3.31
19-4013,Food Science Technicians,0.97,3.0,3.5,3.12,3.12,3.25,2.0,1.62,1.0,3.0,3.0,2.88,1.5,2.0,2.62,2.75,3.12,2.0,2.12,1.38,2.75,2.0,1.38,3.12,3.75,1.75,3.25,2.25,2.88,3.5,2.25,2.38,1.38,3.0,2.12,3.5
19-4021,Biological Technicians,0.3,3.5,3.75,3.25,2.75,3.88,2.12,1.88,1.0,2.38,3.12,2.88,1.88,2.25,2.12,3.0,3.25,1.88,2.62,1.88,3.0,2.0,1.88,2.88,4.0,1.75,3.75,2.25,2.75,3.25,3.0,2.75,1.88,2.88,2.62,3.38
19-4031,Chemical Technicians,0.57,3.38,3.88,3.12,3.0,4.0,2.88,2.75,1.0,3.0,3.12,3.12,1.75,2.25,2.5,3.0,3.88,2.62,3.0,2.5,3.25,2.62,1.5,3.12,4.0,2.75,4.12,2.75,2.88,3.38,3.0,3.12,2.0,3.12,2.88,3.88
19-4042,"Environmental Science and Protection Technicians, Including Health",0.77,3.12,3.88,3.25,3.0,3.75,1.88,1.75,1.0,2.88,3.25,3.0,1.88,2.0,2.38,3.12,3.38,2.75,2.88,2.62,3.0,2.88,1.88,2.75,4.0,1.75,3.38,3.0,3.0,3.88,3.12,3.0,1.5,3.0,2.0,3.88
19-4043,"Geological Technicians, Except Hydrologic Technicians",0.91,2.75,3.12,3.12,3.0,3.5,1.88,2.25,1.0,2.62,3.12,2.62,1.75,2.12,2.5,2.75,3.25,2.38,2.75,1.5,3.0,2.62,1.62,2.25,3.75,2.0,2.62,2.5,2.88,3.0,2.62,2.5,2.0,3.25,2.12,3.25
19-4051,Nuclear Technicians,0.85,3.19,3.75,3.18,3.06,3.75,2.5,2.06,1.19,3.12,3.32,3.0,1.88,1.94,2.56,2.94,3.82,2.68,3.0,1.44,3.82,2.88,1.81,3.31,3.68,2.25,2.94,2.82,3.0,3.38,2.88,2.75,1.75,3.0,3.0,3.18
19-4061,Social Science Research Assistants,0.65,3.12,3.75,3.38,2.88,3.75,1.0,1.38,1.0,2.62,3.12,3.0,1.75,2.0,2.38,3.12,2.88,2.38,1.62,2.0,2.12,2.5,2.62,2.5,4.0,1.0,3.25,2.38,2.88,3.38,3.0,2.88,1.75,2.88,1.75,3.75
19-4071,Forest and Conservation Technicians,0.42,3.0,3.75,3.0,3.12,3.75,2.0,2.12,1.25,3.12,3.25,3.0,2.0,2.0,2.88,2.75,3.12,2.25,2.75,1.88,2.88,2.88,2.0,2.62,3.38,2.0,2.75,3.0,3.12,3.25,3.0,2.75,2.0,3.25,2.0,3.0
19-4092,Forensic Science Technicians,0.01,3.38,4.0,3.62,3.12,4.0,1.62,2.0,1.0,2.75,3.25,3.0,1.38,1.5,2.62,2.75,3.25,2.38,2.62,1.62,2.75,2.75,1.5,2.5,4.0,1.5,3.25,3.0,3.25,4.0,3.0,3.0,1.38,3.0,2.0,4.0
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.61,3.06,3.38,3.32,2.94,3.5,2.12,2.0,1.31,2.62,3.19,2.75,1.69,1.93,2.25,3.25,3.56,2.44,2.56,2.0,3.0,2.38,2.25,3.44,3.62,1.88,2.68,2.62,2.94,3.31,3.19,2.88,1.75,2.94,2.69,3.25
19-5011,Occupational Health and Safety Specialists,0.17,3.38,4.0,3.75,3.0,3.75,1.38,2.0,1.0,3.25,3.75,3.0,2.0,2.0,2.5,3.0,3.62,2.88,2.0,3.0,3.0,3.12,1.88,3.12,4.0,1.38,2.75,3.0,3.75,4.0,3.75,3.75,1.88,3.0,2.0,4.0
19-5012,Occupational Health and Safety Technicians,0.25,3.12,4.0,3.25,3.0,3.88,1.0,1.0,1.0,3.0,3.25,3.0,2.0,2.0,2.62,2.75,3.25,3.12,2.62,2.12,2.88,3.12,1.88,2.88,3.88,1.12,2.75,3.0,3.12,3.88,3.12,3.0,1.88,3.0,2.0,3.75
21-1011,Substance Abuse and Behavioral Disorder Counselors,0.03,3.75,4.25,3.5,3.5,4.12,1.0,1.0,1.0,3.38,3.88,3.25,2.0,2.0,3.0,2.0,4.0,3.25,1.62,2.0,2.0,3.88,1.75,2.0,4.0,1.0,2.0,3.88,4.12,4.25,3.25,3.25,1.75,3.0,1.5,4.0
21-1012,"Educational, Guidance, and Career Counselors and Advisors",0.01,3.75,4.38,3.75,3.62,3.88,1.0,1.0,1.0,3.62,3.62,3.75,1.5,1.5,2.88,2.25,3.75,3.38,1.0,1.38,1.5,3.62,1.5,1.5,3.88,1.0,1.5,4.0,4.12,4.12,3.0,3.0,1.38,3.12,1.25,3.88
21-1013,Marriage and Family Therapists,0.01,3.75,4.88,4.0,3.5,3.88,1.0,1.0,1.0,3.5,4.0,3.12,1.38,1.25,3.0,1.88,3.62,3.62,1.12,2.75,1.5,3.62,1.25,1.25,4.0,1.0,2.5,4.0,4.38,4.25,3.12,3.25,1.5,3.12,1.0,4.0
21-1014,Mental Health Counselors,0.0,3.75,5.0,3.75,3.0,4.0,1.0,1.0,1.0,3.0,4.0,3.12,1.62,1.5,2.75,2.0,3.75,3.0,1.0,2.5,1.62,3.62,1.62,1.5,4.12,1.0,2.75,3.88,5.0,4.25,3.0,3.0,1.5,3.0,1.0,4.12
21-1015,Rehabilitation Counselors,0.01,3.12,4.0,3.12,3.62,3.62,1.0,1.0,1.0,3.12,3.38,3.12,1.5,1.38,2.75,2.0,3.88,3.0,1.12,2.88,1.62,3.12,1.5,1.25,3.75,1.0,2.25,4.0,4.0,4.0,3.12,3.12,1.5,3.25,1.0,3.62
21-1021,"Child, Family, and School Social Workers",0.03,3.38,4.88,3.88,3.75,4.12,1.0,1.0,1.0,3.12,4.0,3.12,1.38,1.38,2.88,2.0,3.88,3.75,2.0,2.62,2.12,3.75,1.38,1.75,4.0,1.0,2.25,4.0,4.12,4.5,3.12,2.88,1.5,3.75,1.5,3.75
21-1022,Healthcare Social Workers,0.0,3.75,4.0,3.88,4.0,4.0,1.0,1.0,1.0,3.0,3.62,3.12,1.62,1.75,3.12,2.0,3.25,3.12,1.62,2.88,1.62,3.25,1.62,1.62,4.0,1.0,2.62,4.12,4.25,4.12,2.75,3.12,1.62,3.12,1.0,3.88
21-1023,Mental Health and Substance Abuse Social Workers,0.0,3.25,4.12,3.88,3.88,4.0,1.0,1.0,1.0,3.25,3.5,3.75,1.88,1.88,3.0,2.0,4.0,3.38,1.38,2.5,2.0,3.75,1.88,1.88,4.0,1.0,2.62,3.88,4.25,4.12,3.25,2.88,1.75,3.25,1.0,3.75
21-1091,Health Education Specialists,0.04,3.88,4.12,3.12,3.62,3.75,1.0,1.0,1.0,3.38,3.25,4.0,2.25,2.12,3.0,2.12,3.25,3.0,1.5,3.0,1.88,3.12,1.38,1.38,3.75,1.0,2.5,3.25,3.88,4.12,3.12,3.0,1.75,3.38,1.0,4.12
21-1092,Probation Officers and Correctional Treatment Specialists,0.25,3.38,4.0,3.75,3.12,3.88,1.0,1.0,1.0,3.0,3.62,2.25,1.62,1.62,2.25,1.88,3.75,3.12,2.12,1.75,2.25,3.12,1.62,2.0,3.88,1.0,1.75,3.0,4.0,4.0,2.88,2.75,1.5,3.38,1.62,3.75
21-1093,Social and Human Service Assistants,0.13,3.25,4.0,3.25,3.75,3.62,1.0,1.0,1.0,2.88,3.25,2.88,2.0,2.0,2.25,2.0,3.62,3.0,2.0,2.0,2.0,3.38,1.62,1.88,3.75,1.0,1.75,3.88,4.0,4.0,2.75,2.88,1.75,3.0,1.12,3.62
21-2011,Clergy,0.01,3.75,4.25,3.75,3.75,3.75,1.0,1.0,1.0,4.0,3.88,3.62,2.75,2.75,3.38,1.88,3.5,3.75,1.38,1.75,1.75,3.88,1.5,1.0,3.88,1.0,1.38,4.0,4.12,4.75,2.88,3.0,1.5,3.88,1.0,3.88
21-2021,"Directors, Religious Activities and Education",0.02,3.88,4.0,3.5,3.75,3.88,1.0,1.0,1.0,3.88,3.62,3.75,2.75,2.75,3.0,2.12,3.12,3.0,1.12,2.88,2.0,3.12,1.75,2.0,3.88,1.0,1.38,3.88,4.0,4.12,3.12,2.88,1.88,3.12,1.5,3.25
23-1011,Lawyers,0.04,3.75,4.5,4.12,3.5,4.5,1.0,1.0,1.0,3.12,4.12,3.12,2.0,2.0,2.88,2.0,3.38,4.0,1.0,2.38,1.38,4.0,1.5,1.0,4.5,1.0,1.5,3.12,3.75,4.62,3.38,3.0,1.5,3.62,1.0,4.25
23-1012,Judicial Law Clerks,0.41,3.75,4.25,3.5,3.0,4.25,1.0,1.0,1.0,2.62,3.25,3.0,1.0,1.25,1.75,1.88,3.0,2.75,1.0,1.25,1.25,2.75,1.5,1.75,4.5,1.0,1.0,2.62,3.0,4.0,2.38,2.38,1.62,3.25,1.0,4.12
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.64,3.75,4.25,3.88,3.0,4.25,1.0,1.0,1.0,2.75,4.12,3.0,1.75,1.62,2.62,2.12,3.62,3.25,1.0,1.88,1.5,3.0,1.5,1.12,4.25,1.0,1.62,3.0,3.88,4.0,2.75,2.75,1.75,3.25,1.0,4.12
